variable,group,type,values,description
set1_growth_share_clicks,"Episode: Part 1, growth",integer,>=0,Number of times Share was clicked for this episode (card + Read More page)
set1_neutral_episode,"Episode: Part 1, neutral",text,growth_1..unwavering_2,Episode shown for this condition in this part (see CODEBOOK.md section 3)
set1_neutral_position,"Episode: Part 1, neutral",integer,4-Jan,Display position within the part (1 = shown first)
set1_neutral_title_view_sec,"Episode: Part 1, neutral",decimal (seconds),>=0,"Title reading time: total active time the episode card was on screen, all visits; excludes Read More time and time the Share pop-up was open"
set1_neutral_title_views,"Episode: Part 1, neutral",integer,>=1,"Number of times the card was displayed (first view, Previous, return from Read More)"
set1_neutral_readmore_clicked,"Episode: Part 1, neutral",binary,"1=yes, 0=no",Opened Read More at least once
set1_neutral_readmore_clicks,"Episode: Part 1, neutral",integer,>=0,Number of times Read More was opened
set1_neutral_readmore_sec,"Episode: Part 1, neutral",decimal (seconds),>=0,"Total active time on the Read More page, all visits; excludes time the Share pop-up was open; 0 if never opened"
set1_neutral_readmore_max_scroll_pct,"Episode: Part 1, neutral",integer (%),0-100,"Furthest point of the full description on screen, max across visits; 0 if never opened"
set1_neutral_share_clicked,"Episode: Part 1, neutral",binary,"1=yes, 0=no","Clicked the (mock) Share button for this episode at least once, on the card or the Read More page"
set1_neutral_share_clicks,"Episode: Part 1, neutral",integer,>=0,Number of times Share was clicked for this episode (card + Read More page)
set1_rejection_episode,"Episode: Part 1, rejection",text,growth_1..unwavering_2,Episode shown for this condition in this part (see CODEBOOK.md section 3)
set1_rejection_position,"Episode: Part 1, rejection",integer,4-Jan,Display position within the part (1 = shown first)
set1_rejection_title_view_sec,"Episode: Part 1, rejection",decimal (seconds),>=0,"Title reading time: total active time the episode card was on screen, all visits; excludes Read More time and time the Share pop-up was open"
set1_rejection_title_views,"Episode: Part 1, rejection",integer,>=1,"Number of times the card was displayed (first view, Previous, return from Read More)"
set1_rejection_readmore_clicked,"Episode: Part 1, rejection",binary,"1=yes, 0=no",Opened Read More at least once
set1_rejection_readmore_clicks,"Episode: Part 1, rejection",integer,>=0,Number of times Read More was opened
set1_rejection_readmore_sec,"Episode: Part 1, rejection",decimal (seconds),>=0,"Total active time on the Read More page, all visits; excludes time the Share pop-up was open; 0 if never opened"
set1_rejection_readmore_max_scroll_pct,"Episode: Part 1, rejection",integer (%),0-100,"Furthest point of the full description on screen, max across visits; 0 if never opened"
set1_rejection_share_clicked,"Episode: Part 1, rejection",binary,"1=yes, 0=no","Clicked the (mock) Share button for this episode at least once, on the card or the Read More page"
set1_rejection_share_clicks,"Episode: Part 1, rejection",integer,>=0,Number of times Share was clicked for this episode (card + Read More page)
set1_unwavering_episode,"Episode: Part 1, unwavering",text,growth_1..unwavering_2,Episode shown for this condition in this part (see CODEBOOK.md section 3)
set1_unwavering_position,"Episode: Part 1, unwavering",integer,4-Jan,Display position within the part (1 = shown first)
set1_unwavering_title_view_sec,"Episode: Part 1, unwavering",decimal (seconds),>=0,"Title reading time: total active time the episode card was on screen, all visits; excludes Read More time and time the Share pop-up was open"
set1_unwavering_title_views,"Episode: Part 1, unwavering",integer,>=1,"Number of times the card was displayed (first view, Previous, return from Read More)"
set1_unwavering_readmore_clicked,"Episode: Part 1, unwavering",binary,"1=yes, 0=no",Opened Read More at least once
set1_unwavering_readmore_clicks,"Episode: Part 1, unwavering",integer,>=0,Number of times Read More was opened
set1_unwavering_readmore_sec,"Episode: Part 1, unwavering",decimal (seconds),>=0,"Total active time on the Read More page, all visits; excludes time the Share pop-up was open; 0 if never opened"
set1_unwavering_readmore_max_scroll_pct,"Episode: Part 1, unwavering",integer (%),0-100,"Furthest point of the full description on screen, max across visits; 0 if never opened"
set1_unwavering_share_clicked,"Episode: Part 1, unwavering",binary,"1=yes, 0=no","Clicked the (mock) Share button for this episode at least once, on the card or the Read More page"
set1_unwavering_share_clicks,"Episode: Part 1, unwavering",integer,>=0,Number of times Share was clicked for this episode (card + Read More page)
set2_growth_episode,"Episode: Part 2, growth",text,growth_1..unwavering_2,Episode shown for this condition in this part (see CODEBOOK.md section 3)
set2_growth_position,"Episode: Part 2, growth",integer,4-Jan,Display position within the part (1 = shown first)
set2_growth_title_view_sec,"Episode: Part 2, growth",decimal (seconds),>=0,"Title reading time: total active time the episode card was on screen, all visits; excludes Read More time and time the Share pop-up was open"
set2_growth_title_views,"Episode: Part 2, growth",integer,>=1,"Number of times the card was displayed (first view, Previous, return from Read More)"
set2_growth_readmore_clicked,"Episode: Part 2, growth",binary,"1=yes, 0=no",Opened Read More at least once
set2_growth_readmore_clicks,"Episode: Part 2, growth",integer,>=0,Number of times Read More was opened
set2_growth_readmore_sec,"Episode: Part 2, growth",decimal (seconds),>=0,"Total active time on the Read More page, all visits; excludes time the Share pop-up was open; 0 if never opened"
set2_growth_readmore_max_scroll_pct,"Episode: Part 2, growth",integer (%),0-100,"Furthest point of the full description on screen, max across visits; 0 if never opened"
set2_growth_share_clicked,"Episode: Part 2, growth",binary,"1=yes, 0=no","Clicked the (mock) Share button for this episode at least once, on the card or the Read More page"
set2_growth_share_clicks,"Episode: Part 2, growth",integer,>=0,Number of times Share was clicked for this episode (card + Read More page)
set2_neutral_episode,"Episode: Part 2, neutral",text,growth_1..unwavering_2,Episode shown for this condition in this part (see CODEBOOK.md section 3)
set2_neutral_position,"Episode: Part 2, neutral",integer,4-Jan,Display position within the part (1 = shown first)
set2_neutral_title_view_sec,"Episode: Part 2, neutral",decimal (seconds),>=0,"Title reading time: total active time the episode card was on screen, all visits; excludes Read More time and time the Share pop-up was open"
set2_neutral_title_views,"Episode: Part 2, neutral",integer,>=1,"Number of times the card was displayed (first view, Previous, return from Read More)"
set2_neutral_readmore_clicked,"Episode: Part 2, neutral",binary,"1=yes, 0=no",Opened Read More at least once
set2_neutral_readmore_clicks,"Episode: Part 2, neutral",integer,>=0,Number of times Read More was opened
set2_neutral_readmore_sec,"Episode: Part 2, neutral",decimal (seconds),>=0,"Total active time on the Read More page, all visits; excludes time the Share pop-up was open; 0 if never opened"
set2_neutral_readmore_max_scroll_pct,"Episode: Part 2, neutral",integer (%),0-100,"Furthest point of the full description on screen, max across visits; 0 if never opened"
set2_neutral_share_clicked,"Episode: Part 2, neutral",binary,"1=yes, 0=no","Clicked the (mock) Share button for this episode at least once, on the card or the Read More page"
set2_neutral_share_clicks,"Episode: Part 2, neutral",integer,>=0,Number of times Share was clicked for this episode (card + Read More page)
set2_rejection_episode,"Episode: Part 2, rejection",text,growth_1..unwavering_2,Episode shown for this condition in this part (see CODEBOOK.md section 3)
set2_rejection_position,"Episode: Part 2, rejection",integer,4-Jan,Display position within the part (1 = shown first)
set2_rejection_title_view_sec,"Episode: Part 2, rejection",decimal (seconds),>=0,"Title reading time: total active time the episode card was on screen, all visits; excludes Read More time and time the Share pop-up was open"
set2_rejection_title_views,"Episode: Part 2, rejection",integer,>=1,"Number of times the card was displayed (first view, Previous, return from Read More)"
set2_rejection_readmore_clicked,"Episode: Part 2, rejection",binary,"1=yes, 0=no",Opened Read More at least once
set2_rejection_readmore_clicks,"Episode: Part 2, rejection",integer,>=0,Number of times Read More was opened
set2_rejection_readmore_sec,"Episode: Part 2, rejection",decimal (seconds),>=0,"Total active time on the Read More page, all visits; excludes time the Share pop-up was open; 0 if never opened"
set2_rejection_readmore_max_scroll_pct,"Episode: Part 2, rejection",integer (%),0-100,"Furthest point of the full description on screen, max across visits; 0 if never opened"
set2_rejection_share_clicked,"Episode: Part 2, rejection",binary,"1=yes, 0=no","Clicked the (mock) Share button for this episode at least once, on the card or the Read More page"
set2_rejection_share_clicks,"Episode: Part 2, rejection",integer,>=0,Number of times Share was clicked for this episode (card + Read More page)
set2_unwavering_episode,"Episode: Part 2, unwavering",text,growth_1..unwavering_2,Episode shown for this condition in this part (see CODEBOOK.md section 3)
set2_unwavering_position,"Episode: Part 2, unwavering",integer,4-Jan,Display position within the part (1 = shown first)
set2_unwavering_title_view_sec,"Episode: Part 2, unwavering",decimal (seconds),>=0,"Title reading time: total active time the episode card was on screen, all visits; excludes Read More time and time the Share pop-up was open"
set2_unwavering_title_views,"Episode: Part 2, unwavering",integer,>=1,"Number of times the card was displayed (first view, Previous, return from Read More)"
set2_unwavering_readmore_clicked,"Episode: Part 2, unwavering",binary,"1=yes, 0=no",Opened Read More at least once
set2_unwavering_readmore_clicks,"Episode: Part 2, unwavering",integer,>=0,Number of times Read More was opened
set2_unwavering_readmore_sec,"Episode: Part 2, unwavering",decimal (seconds),>=0,"Total active time on the Read More page, all visits; excludes time the Share pop-up was open; 0 if never opened"
set2_unwavering_readmore_max_scroll_pct,"Episode: Part 2, unwavering",integer (%),0-100,"Furthest point of the full description on screen, max across visits; 0 if never opened"
set2_unwavering_share_clicked,"Episode: Part 2, unwavering",binary,"1=yes, 0=no","Clicked the (mock) Share button for this episode at least once, on the card or the Read More page"
set2_unwavering_share_clicks,"Episode: Part 2, unwavering",integer,>=0,Number of times Share was clicked for this episode (card + Read More page)
detail_json,Raw log,JSON text,,"Display order, unrounded metrics, per-visit Read More log, and event timeline (see CODEBOOK.md section 4)"
